Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Begby idrettsplass - minifotballbane;106004504;Eksisterende;Begby IL;Begby IL;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;Ikke vurdert;Lengde 65.00 ;Bredde 45.00 ;  ;  ;135380;16830;;6570915;272454;33
Borgar banen;106004601;Eksisterende;Borgar IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 104.00 ;Bredde 62.00 ;  ;  ;140545;21420;6;6575776;277366;33
Borgar banen;106004602;Eksisterende;Borgar IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 108.00 ;Bredde 68.00 ;  ;  ;140545;21420;5;6575776;277366;33
Borgar Minifotballanlegg;106004604;Eksisterende;Fredrikstad kommune;Borgar IL;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;Ikke vurdert;Lengde 70.00 ;Bredde 60.00 ;  ;  ;140502;21477;;6571083;619419;32
Selbak stadion;106004701;Eksisterende;Selbak Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 103.00 ;Bredde 65.00 ;  ;  ;136660;16665;6;6572204;272371;33
Selbak stadion;106004702;Eksisterende;Selbak Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 104.00 ;Bredde 64.00 ;  ;  ;136660;16665;6;6572204;272371;33
Selbak stadion;106004703;Eksisterende;Selbak Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 38.00 ;  ;  ;136660;16665;5;6572204;272371;33
Selbak kunstgressbane;106004705;Eksisterende;Fredrikstad kommune;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 meter;Bredde 62.00 meter;  ;  ;136660;16665;7;6572204;272371;33
Torp idrettsplass kunstgress;106004801;Eksisterende;Torp IF;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 104.00 ;Bredde 62.00 ;  ;  ;138175;16805;7;6573707;272608;33
Torp idrettsplass - grusbane;106004804;Eksisterende;Torp IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 80.00 ;Bredde 45.00 ;  ;  ;138228;16747;5;6568688;614751;32
Torsnes idrettsplass;106004901;Eksisterende;Torsnes IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;131980;18030;6;6567445;273433;33
Torsnes idrettsplass - grusbane;106004906;Eksisterende;Torsnes IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 120.00 meter;Bredde 80.00 meter;  ;  ;71894;16440;5;6502383;616152;32
Borge u-skole gressbane;106005001;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 102.00 ;Bredde 62.00 ;  ;  ;136981;16741;6;6572519;272467;33
