Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Tveit stadion gressbanen;545001401;Eksisterende;FK Vang;FK Vang;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 97.00 ;Bredde 58.00 ;  ;  ;351225;20000;6;6795887;164283;33
Tveit Stadion grusbanen;545001402;Nedlagt;Høre/Ryfoss IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;351225;20000;5;6795887;164283;33
Tveit stadion kunstgressbane;545001406;Eksisterende;FK Vang;FK Vang;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 110.00 ;Bredde 72.00 ;  ;  ;351208;20046;7;6795865;164327;33
Drafnkollen fotballbane;602000202;Eksisterende;Drafn SK. Og Bk.;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 95.00 ;Bredde 60.00 ;  ;  ;192000;-29080;6;6630391;230264;33
Konnerud kunstgress med undervarme;602000302;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 154.50 ;Bredde 68.00 ;  ;  ;190775;-32332;7;6629378;226938;33
Konnerud Idrettspark, kunstgressbane 1;602000303;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;190838;-32461;7;6629449;226813;33
Konnerud idrettspark, 7èr fotball Høyden;602000308;Eksisterende;Konnerud IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;190912;-32360;6;6629516;226919;33
Konnerud Idrettspark kunstgress 7'er ban;602000311;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 62.00 ;Bredde 40.00 ;  ;  ;191770;-32330;7;6630371;227004;33
Sletta grusbane;602000401;Eksisterende;Konnerud IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 50.00 ;  ;  ;190664;-32096;5;6629252;227166;33
Vallersbanen grus;602000501;Eksisterende;Konnerud IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;190905;-31717;5;6629468;227560;33
Jordbrekkskogen balløkke;602000801;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 50.00 ;  ;  ;189700;-31375;6;6628243;227824;33
Prestegårdsletta gressbane fotball;602002601;Eksisterende;Skoger IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;187775;-28192;6;6626116;230878;33
Åskollen idrettspark, gressbane fotball;602002901;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;191050;-25830;6;6629233;233447;33
Åskollen idrettspark, grusbane fotball;602002902;Nedlagt;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;190945;-25758;5;6629124;233512;33
Åskollen idrettspark, gressbane fotball;602002904;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;191013;-25743;6;6629191;233532;33
Åskollen Idrettspark, Kunstgressbane;602002907;Eksisterende;;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 meter;Bredde 64.00 meter;  ;  ;190934;-25756;7;6620260;570910;32
Åskollen Grus og skøytebane;602002908;Eksisterende;;;Nærmiljøanlegg;Fotballanlegg;Fotball grusbane;Ja;Bredde 25.00 meter;Lengde 40.00 meter;  ;  ;190913;-25804;5;6629095;233465;33
Fjell kunstgressbane;602003702;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 96.00 ;Bredde 57.00 ;  ;  ;191523;-27741;7;6629829;231570;33
Marienlyst nye fotballbane;602004701;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 103.00 ;Bredde 63.00 ;  ;  ;193400;-29020;6;6631785;230414;33
Marienlyst kunstgress/kunstis;602004704;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 199.00 ;Bredde 75.00 ;  ;  ;193309;-29080;7;6631698;230348;33
Marienlyst Stadion;602004901;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 108.00 ;Bredde 68.00 ;  ;  ;193195;-29059;7;6631583;230362;33
Gulskogen idrettspark, kunstgressbane;602005601;Eksisterende;Strømsgodset IF;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;194490;-31575;7;6633038;227933;33
Gulskogen idrettspark, gressbane fotball;602005603;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 98.00 ;Bredde 72.00 ;  ;  ;194575;-31543;6;6633121;227971;33
Gulskogen kunstgressbane med undervarme;602005606;Eksisterende;Drammensfotballen AS;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;194455;-31481;7;6632997;228025;33
Bergskaug idrettsanlegg, gress 1;602006001;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;195641;-33568;6;6634316;226018;33
Berskaug Idrettspark, grusbane;602006002;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;195484;-33623;5;6634163;225953;33
Berskaug Idrettspark, gress 2;602006003;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;195494;-33501;6;6634165;226075;33
Berskaug Idrettspark, gress 3;602006004;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;195409;-33501;6;6634080;226070;33
Åssiden idrettspark, kunstgress;602006301;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;195172;-32342;7;6633769;227212;33
Åssiden idrettspark, gress 2;602006303;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;195329;-32425;6;6633931;227139;33
Åssiden idrettspark gress 3;602006304;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;195307;-32326;6;6633902;227236;33
Åssiden idrettspark, grusbane;602006305;Eksisterende;Åssiden IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;195222;-32441;5;6633825;227116;33
Ørenbanen;602008002;Eksisterende;Drammen kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 90.00 ;Bredde 50.00 ;  ;  ;195235;-30854;7;6633735;228701;33
Jondalen idrettspark Fotballbane gress;604004602;Eksisterende;Jondalen IL;Jondalen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 meter;Bredde 62.00 meter;  ;  ;190727;64050;6;6631641;192043;33
Jondalen idrettspark Fotballbane grus;604004603;Eksisterende;Jondalen IL;Jondal IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 95.00 meter;Bredde 50.00 meter;  ;  ;190843;64118;5;6631750;192122;33
Gamlegrendåsen skole Fotball kunstgress;604005202;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 60.00 meter;Bredde 40.00 meter;  ;  ;184168;-59461;7;6624530;199424;33
Raumyr stadion, fotballbane kunstgress;604005601;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 110.00 meter;Bredde 75.00 meter;  ;  ;186936;-59840;7;6627319;199224;33
Raumyr stadion, belysning;604005602;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 1.00 ;Bredde 1.00 ;  ;  ;186916;-59801;5;6627296;199261;33
Kongsberghallen fotballbane;604006311;Urealisert;Kongsberg kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 1.00 ;Bredde 1.00 ;  ;  ;187593;-61100;5;6628056;198008;33
Kongsberg idrettspark Fotballbane gress;604006802;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 meter;Bredde 66.00 meter;  ;  ;187600;-61425;6;6628084;197684;33
Kongsberg idrettspark Fotballbane grus;604006803;Nedlagt;Kongsberg kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 meter;Bredde 50.00 meter;  ;  ;187606;-61544;5;6628098;197565;33
Kongsberg Idrettspark Kunstgressbane;604006809;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 75.00 meter;Bredde 105.00 meter;  ;  ;187617;-61511;7;6628106;197599;33
Kongsberg idrettspark Fotball kunstgress 7er;604006812;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 60.00 meter;Bredde 40.00 meter;  ;  ;187619;-61540;7;6628110;197570;33
Kongsberg næringspark Fotballbane gress;604007201;Nedlagt;;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 104.00 meter;Bredde 65.00 meter;  ;  ;184339;-60399;6;6624761;198498;33
Wennersborg skole Fotballbane gress;604007302;Nedlagt;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 90.00 meter;Bredde 60.00 meter;  ;  ;184657;-60798;6;6625105;198120;33
Wennersborg skole Fotballbane kunstgress 7er;604007314;Planlagt;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 60.00 meter;Bredde 40.00 meter;  ;  ;184662;-60795;7;6625109;198123;33
Statens yrkesskole for skogbruk, Sølvverksletta fotballbane;604007502;Eksisterende;Skrim, IL;Skrim, IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 meter;Bredde 60.00 meter;  ;  ;181900;-62970;6;6622492;195773;33
Skrimsletta Fotballbane gress;604007901;Eksisterende;Skrim, IL;Skrim, IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 104.00 meter;Bredde 64.00 meter;  ;  ;181235;-60625;6;6621676;198072;33
Skrimsletta Fotballbane gress;604007902;Nedlagt;Skrim, IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 103.00 ;Bredde 68.00 ;  ;  ;181247;-60739;6;6621696;197959;33
Skrimsletta Fotballbane grus;604007903;Eksisterende;Skrim, IL;Skrim, IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 105.00 meter;Bredde 64.00 meter;  ;  ;181246;-60729;5;6621694;197969;33
Heistadmoen Fotballbane gress;604008102;Eksisterende;Forsvaret Fdi 3/Ir 3;Forsvaret Fdi 3/Ir 3;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 110.00 meter;Bredde 65.00 meter;  ;  ;177930;-59695;6;6618316;198788;33
Heistadmoen Fotballbane grus;604008107;Nedlagt;Forsvaret Fdi 3/Ir 3;Forsvaret Fdi 3/Ir 3;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 meter;Bredde 60.00 meter;  ;  ;178256;-59388;5;6618622;199115;33
Efteløt idrettspark, fotballbane gress;604008602;Eksisterende;Efteløt IL;Efteløt IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 meter;Bredde 61.00 meter;  ;  ;173184;-51533;6;6613051;206632;33
Hvittingfoss idrettsplass Fotballbane gress;604009102;Eksisterende;Hvittingfoss IL;Hvittingfoss IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 104.00 meter;Bredde 65.00 meter;  ;  ;166115;-40130;6;6605258;217563;33
Hvittingfoss idrettsplass Fotballbane grus;604009103;Eksisterende;Hvittingfoss IL;Hvittingfoss IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 80.00 meter;Bredde 50.00 meter;  ;  ;166089;-40081;5;6605229;217611;33
Hvittingfoss idrettsplass Kunstgressbane innendørs;604009107;Eksisterende;Kongsberg kommune;Kongsberg kommune;Nærmiljøanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Bredde 30.00 meter;Lengde 50.00 meter;  ;  ;167088;92129;7;6605312;217648;33
Pukkverksgropa Fotballbane grus;604014301;Urealisert;Skrim, IL;Skrim, IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 1.00 ;Bredde 1.00 ;  ;  ;212006;-280856;5;6666666;-20000;33
Eilertsløkka Kunstgressbane;604018201;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 105.00 meter;Bredde 70.00 meter;  ;  ;184663;-58746;7;6624978;200169;33
Skrim idrettspark, innendørs fotballbane 7`er kunstgress;604018304;Eksisterende;Kongsberg kommune;Skrim, IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 55.00 meter;Bredde 38.00 meter;  ;  ;181721;-60258;7;6622138;198470;33
Skrim idrettspark, fotballbane gress;604018306;Planlagt;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 meter;Bredde 75.00 meter;  ;  ;181883;-60165;6;6622294;198573;33
Skrim idrettspark, fotballbane kunstgress;604018307;Planlagt;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 105.00 meter;Bredde 75.00 meter;  ;  ;181897;-60302;7;6622317;198437;33
Gamlegrendåsen Syd, 7 er fotballbane kunstgress;604021101;Eksisterende;Kongsberg kommune;Kongsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 60.00 meter;Bredde 40.00 meter;  ;  ;183322;-59690;7;6623700;199140;33
Hønefoss idrettspark;605000102;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;240500;-25230;6;6678563;237243;33
Hønefoss idrettspark;605000103;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 80.00 ;Bredde 65.00 ;  ;  ;240500;-25230;5;6678563;237243;33
Hønefoss idrettspark;605000104;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;240500;-25230;6;6678563;237243;33
Hønefoss idrettspark;605000105;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;240500;-25230;5;6678563;237243;33
Hønefoss idrettspark;605000108;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;240500;-25230;5;6678563;237243;33
Hønefoss idrettspark;605000109;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball Minihall 40x20;Ikke vurdert;Lengde 45.00 ;Bredde 28.00 ;  ;  ;240500;-25230;;6678563;237243;33
Hønefoss kunstgressbane;605000118;Eksisterende;Hønefoss kunstgressbane AS;Hønefoss kunstgressbane AS;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;240500;-25230;7;6678563;237243;33
Halden balløkke;605000601;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 120.00 ;Bredde 60.00 ;  ;  ;243250;-25600;6;6681333;237051;33
Ullerål skole;605000902;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 90.00 ;Bredde 50.00 ;  ;  ;242930;-25010;5;6680975;237620;33
Hvervenkastet idrettsplass;605001901;Nedlagt;Norderhov U&il;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;239196;-25170;6;6677258;237218;33
Trøgstadbanen;605002002;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 65.00 ;  ;  ;239190;-25170;6;6677252;237218;33
Tolpinrud idrettsanlegg;605002101;Eksisterende;Hønefoss Sportsklubb;Hønefoss Sportsklubb;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;240320;-27530;5;6678533;234935;33
Tolpinrud idrettsanlegg;605002102;Eksisterende;Hønefoss Sportsklubb;Hønefoss Sportsklubb;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 104.00 ;Bredde 62.00 ;  ;  ;240320;-27530;6;6678533;234935;33
Vang skole;605002903;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;242230;-21900;6;6680075;240679;33
Vang skole;605002905;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 45.00 ;  ;  ;242230;-21900;5;6680075;240679;33
Hen stadion;605003201;Nedlagt;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 55.00 ;  ;  ;246960;-26620;5;6685103;236273;33
Åsbygda stadion;605003401;Eksisterende;Åskameratene U&IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;245830;-19640;6;6683522;243169;33
Hensmoen bedriftsidrettsplass;605003501;Eksisterende;Bedriftene På Hensmoen;Bedriftene På Hensmoen;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;248200;-26220;5;6686315;236753;33
Hallingby idrettsplass;605003902;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 64.00 ;  ;  ;252670;-29720;6;6691004;233549;33
Hallingby idrettsplass;605003903;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;252670;-29720;5;6691004;233549;33
Ringmoen skole;605004303;Nedlagt;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;262350;-34510;6;6700979;229395;33
Nes skole;605004502;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;285930;-40090;5;6724884;225356;33
Nes stadion;605004601;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;286000;-40470;6;6724978;224981;33
Nes stadion;605004602;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;286000;-40470;5;6724978;224981;33
Soknabanen;605005101;Nedlagt;Soknedalen IL;Soknedalen IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 55.00 ;  ;  ;250050;-43600;5;6689289;219521;33
Sokna idrettsplass;605005202;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;250050;-43600;6;6689289;219521;33
Sokna idrettsplass;605005203;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 45.00 ;  ;  ;250050;-43600;5;6689289;219521;33
Veme stadion;605006101;Eksisterende;Veme/Sokna Fotballklubb;Veme/Sokna Fotballklubb;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;245810;-34050;6;6684436;228781;33
Heradsbygda stadion;605006401;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 65.00 ;  ;  ;242760;-27920;6;6680994;234703;33
Heradsbygda stadion;605006402;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 55.00 ;  ;  ;242760;-27920;5;6680994;234703;33
Veienmarka ungdommsskole;605006602;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;241900;-27160;5;6680086;235406;33
Tyristrand idrettsanlegg;605007101;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 110.00 ;Bredde 65.00 ;  ;  ;232000;-35070;6;6670714;226868;33
Tyristrand idrettsanlegg;605007102;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 80.00 ;Bredde 40.00 ;  ;  ;232000;-35070;5;6670714;226868;33
Nakkerud stadion;605007301;Eksisterende;Tyristubben IF;Tyristubben IF;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;228800;-37500;5;6667677;224235;33
Hønefoss idrettspark Kunstgressbane;605023901;Eksisterende;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Nei;  ;  ;  ;  ;240486;-25106;7;6669795;570270;32
Lysanlegg;605024001;Planlagt;;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Nei;  ;  ;  ;  ;240486;-25106;7;6669795;570270;32
 Haugsbygd Kunstgressbane;605024101;Eksisterende;Haugsbygd IF;Haugsbygd IF;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Nei;  ;  ;  ;  ;242298;-21867;7;6680140;240716;33
Heradsbygda stadion, kunstgressbane;605025701;Planlagt;Ringerike kommune;Ringerike kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;  ;  ;  ;  ;242760;-27920;7;6680994;234703;33
Helgelandsmoen;612000108;Eksisterende;Forsvaret;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 900.00 ;Bredde 55.00 ;  ;  ;234800;-27200;5;6673000;234907;33
Helgelandsmoen;612000109;Eksisterende;Forsvaret;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;234800;-27200;6;6673000;234907;33
Røyse skole gressbane;612000305;Eksisterende;Hole kommune;Hole kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert; 0.00 ; 0.00 ;  ;  ;232900;-27750;6;6671139;234235;33
Sentralidrettsanlegget;612000501;Eksisterende;Hole kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 68.00 ;  ;  ;232800;-26800;6;6670978;235177;33
Sentralidrettsanlegget;612000502;Eksisterende;Hole kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;232800;-26800;6;6670978;235177;33
Svensrudmoen treningsbane grus;612000507;Urealisert;Hole kommune;Hole kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 60.00 ;  ;  ;232800;-26800;5;6670978;235177;33
Vik avlastningsbane;612000703;Eksisterende;Hole kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;231600;-24400;5;6669624;237495;33
Utøya;612001401;Eksisterende;AUF,Hole;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 63.00 ;  ;  ;225500;-26200;6;6663651;235303;33
Hole fotballhall;612007306;Urealisert;Hole kommune;Hole kommune;Kommuneanlegg;Fotballanlegg;Fotball Treningshall 70x50;Ikke vurdert;Lengde 71.00 ;Bredde 49.00 ;Høyde 11.00 ;Høyde  ;231600;-24300;;6669618;237595;33
Flå stadion;615000202;Eksisterende;Flåværingen IL;Flåværingen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 65.00 ;  ;  ;270420;59480;6;6711448;195458;33
Nesbyen idrettssenter;616001402;Eksisterende;Nes kommune;Nesbyen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 70.00 ;  ;  ;285847;39362;6;6714336;505623;32
Nesbyen idrettssenter;616001403;Eksisterende;Nes kommune;Nesbyen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 65.00 ;  ;  ;285847;39362;6;6714336;505623;32
Nesbyen 7`er kunstgressbane;616001408;Eksisterende;Nes kommune;Nesbyen IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Bredde 41.00 meter;Lengde 64.00 meter;  ;  ;286627;-88494;7;6728730;177069;33
